Location Code,Address,LAT,LONG
A-1,12 Brayton Rd Scarsdale NY 10583,41.01426315,-73.78806305
A-2,8 Berkeley Rd Scarsdale NY 10583,41.01592636,-73.78627777
A-3,3 Berwick Rd Scarsdale NY 10583,40.99942398,-73.79748535
A-4,101 Brewster Rd Scarsdale NY 10583,41.00646591,-73.78786469
A-5,1 Berkeley Rd Scarsdale NY 10583,41.01646423,-73.78725433
A-6,103 Brewster Rd Scarsdale NY 10583,41.00671005,-73.78779602
A-7,6 Brayton Rd Scarsdale NY 10583,41.01407623,-73.78910065
A-8,10 Brayton Rd Scarsdale NY 10583,41.01422501,-73.78851318
A-9,6 Berwick Rd Scarsdale NY 10583,40.99931717,-73.79753113
A-10,1 Berwick Rd Scarsdale NY 10583,40.99909973,-73.79766846
A-11,7 Berwick Rd Scarsdale NY 10583,40.99991226,-73.79725647
A-12,2 Berkeley Rd Scarsdale NY 10583,41.01634216,-73.78704071
A-13,100 Brewster Rd Scarsdale NY 10583,41.00668335,-73.78780365
A-14,8 Berwick Rd Scarsdale NY 10583,40.99979401,-73.79730988
A-15,19 Berwick Rd Scarsdale NY 10583,41.00037384,-73.79701996
A-16,3 Berkeley Rd Scarsdale NY 10583,41.01622009,-73.78681183
A-17,4 Berkeley Rd Scarsdale NY 10583,41.01620102,-73.78678131
A-18,5 Brayton Rd Scarsdale NY 10583,41.01415634,-73.78874207
A-19,15 Brayton Rd Scarsdale NY 10583,41.01423264,-73.78791046
A-20,18 Berwick Rd Scarsdale NY 10583,41.00008392,-73.79718018
A-21,105 Brewster Rd Scarsdale NY 10583,41.00690842,-73.78774261
A-22,2 Brayton Rd Scarsdale NY 10583,41.01409149,-73.78936768
A-23,9 Brayton Rd Scarsdale NY 10583,41.01424789,-73.78842926
A-24,2 Berwick Rd Scarsdale NY 10583,40.99907303,-73.79769135
A-25,108 Brewster Rd Scarsdale NY 10583,41.00726318,-73.78764343
A-26,8 Brayton Rd Scarsdale NY 10583,41.01409149,-73.78895569
A-27,6 Berkeley Rd Scarsdale NY 10583,41.01608276,-73.78656769
A-28,106 Brewster Rd Scarsdale NY 10583,41.00706482,-73.78769684
A-29,11 Brayton Rd Scarsdale NY 10583,41.01427078,-73.78807831
A-30,2 Berkeley Rd Scarsdale NY 10583,41.01634216,-73.78704071
A-31,104 Brewster Rd Scarsdale NY 10583,41.00687408,-73.78775024
A-32,107 Brewster Rd Scarsdale NY 10583,41.0071106,-73.78768921
A-33,120 Brewster Rd Scarsdale NY 10583,41.00859451,-73.78727722
A-34,121 Brewster Rd Scarsdale NY 10583,41.00860214,-73.78727722
A-35,122 Brewster Rd Scarsdale NY 10583,41.00885773,-73.78720093
A-36,123 Brewster Rd Scarsdale NY 10583,41.00883865,-73.78720856
A-37,135 Brewster Rd Scarsdale NY 10583,41.01029968,-73.78652954
A-38,125 Brewster Rd Scarsdale NY 10583,41.00905991,-73.78714752
A-39,134 Brewster Rd Scarsdale NY 10583,41.01042938,-73.78644562
A-40,124 Brewster Rd Scarsdale NY 10583,41.00917435,-73.787117
A-41,152 Brewster Rd Scarsdale NY 10583,41.01221848,-73.78530121
A-42,119 Brewster Rd Scarsdale NY 10583,41.00837708,-73.78733826
A-43,127 Brewster Rd Scarsdale NY 10583,41.00930405,-73.78707886
A-44,146 Brewster Rd Scarsdale NY 10583,41.0116539,-73.78565216
A-45,149 Brewster Rd Scarsdale NY 10583,41.01171494,-73.78561401
A-46,116 Brewster Rd Scarsdale NY 10583,41.00814438,-73.78739929
A-47,112 Brewster Rd Scarsdale NY 10583,41.00769043,-73.78752899
A-48,114 Brewster Rd Scarsdale NY 10583,41.00790024,-73.78746796
A-49,115 Brewster Rd Scarsdale NY 10583,41.0079422,-73.78746033
A-50,109 Brewster Rd Scarsdale NY 10583,41.00732422,-73.78762817
