Location Code,Address,LAT,LONG
H-1,12 Brayton Rd Scarsdale NY 10583,41.01395035,-73.78813171
H-2,8 Berkeley Rd Scarsdale NY 10583,41.01567459,-73.7864151
H-3,3 Berwick Rd Scarsdale NY 10583,40.99957657,-73.79780579
H-4,101 Brewster Rd Scarsdale NY 10583,41.00653076,-73.78809357
H-5,1 Berkeley Rd Scarsdale NY 10583,41.01663208,-73.78716278
H-6,103 Brewster Rd Scarsdale NY 10583,41.0067749,-73.78803253
H-7,6 Brayton Rd Scarsdale NY 10583,41.01369095,-73.78904724
H-8,10 Brayton Rd Scarsdale NY 10583,41.01395416,-73.78843689
H-9,6 Berwick Rd Scarsdale NY 10583,40.99925232,-73.79715729
H-10,1 Berwick Rd Scarsdale NY 10583,40.99924088,-73.79802704
H-11,7 Berwick Rd Scarsdale NY 10583,41.00007629,-73.79761505
H-12,2 Berkeley Rd Scarsdale NY 10583,41.0160675,-73.7871933
H-13,100 Brewster Rd Scarsdale NY 10583,41.00661087,-73.78753662
H-14,8 Berwick Rd Scarsdale NY 10583,40.99962234,-73.79695129
H-15,19 Berwick Rd Scarsdale NY 10583,41.00057983,-73.79735565
H-16,3 Berkeley Rd Scarsdale NY 10583,41.01639175,-73.78672028
H-17,4 Berkeley Rd Scarsdale NY 10583,41.01593018,-73.7869339
H-18,5 Brayton Rd Scarsdale NY 10583,41.01435852,-73.78879547
H-19,15 Brayton Rd Scarsdale NY 10583,41.01440811,-73.78767395
H-20,18 Berwick Rd Scarsdale NY 10583,40.99996185,-73.79691315
H-21,105 Brewster Rd Scarsdale NY 10583,41.00697708,-73.78798676
H-22,2 Brayton Rd Scarsdale NY 10583,41.0139389,-73.78945923
H-23,9 Brayton Rd Scarsdale NY 10583,41.01453018,-73.78846741
H-24,2 Berwick Rd Scarsdale NY 10583,40.99885178,-73.7974472
H-25,108 Brewster Rd Scarsdale NY 10583,41.0071907,-73.78738403
H-26,8 Brayton Rd Scarsdale NY 10583,41.01374435,-73.78873444
H-27,6 Berkeley Rd Scarsdale NY 10583,41.01581192,-73.78672028
H-28,106 Brewster Rd Scarsdale NY 10583,41.00699615,-73.78743744
H-29,11 Brayton Rd Scarsdale NY 10583,41.01490784,-73.78791809
H-30,2 Berkeley Rd Scarsdale NY 10583,41.0160675,-73.7871933
H-31,104 Brewster Rd Scarsdale NY 10583,41.00680542,-73.78749084
H-32,107 Brewster Rd Scarsdale NY 10583,41.00717545,-73.78793335
H-33,120 Brewster Rd Scarsdale NY 10583,41.00851822,-73.78701019
H-34,121 Brewster Rd Scarsdale NY 10583,41.00867844,-73.78754425
H-35,122 Brewster Rd Scarsdale NY 10583,41.00878143,-73.78694153
H-36,123 Brewster Rd Scarsdale NY 10583,41.00891876,-73.78748322
H-37,135 Brewster Rd Scarsdale NY 10583,41.0104866,-73.78681183
H-38,125 Brewster Rd Scarsdale NY 10583,41.00914001,-73.78742218
H-39,134 Brewster Rd Scarsdale NY 10583,41.01024246,-73.78616333
H-40,124 Brewster Rd Scarsdale NY 10583,41.00910187,-73.78684998
H-41,152 Brewster Rd Scarsdale NY 10583,41.01203918,-73.78501892
H-42,119 Brewster Rd Scarsdale NY 10583,41.00844955,-73.78759766
H-43,127 Brewster Rd Scarsdale NY 10583,41.00938034,-73.78736115
H-44,146 Brewster Rd Scarsdale NY 10583,41.01153946,-73.78546906
H-45,149 Brewster Rd Scarsdale NY 10583,41.01190567,-73.78591156
H-46,116 Brewster Rd Scarsdale NY 10583,41.0080719,-73.78713989
H-47,112 Brewster Rd Scarsdale NY 10583,41.00761795,-73.78726196
H-48,114 Brewster Rd Scarsdale NY 10583,41.00782394,-73.78720856
H-49,115 Brewster Rd Scarsdale NY 10583,41.00800705,-73.78768921
H-50,109 Brewster Rd Scarsdale NY 10583,41.00739288,-73.78787231
H-51,132 Brewster Rd Scarsdale NY 10583,41.01005936,-73.7862854
H-52,138 Brewster Rd Scarsdale NY 10583,41.01061249,-73.78593445
H-53,140 Brewster Rd Scarsdale NY 10583,41.0109024,-73.78588104
H-54,145 Brewster Rd Scarsdale NY 10583,41.01157379,-73.78598785
H-55,137 Brewster Rd Scarsdale NY 10583,41.01067734,-73.78668213
H-56,117 Brewster Rd Scarsdale NY 10583,41.00824738,-73.78765106
H-57,151 Brewster Rd Scarsdale NY 10583,41.01213837,-73.7857666
H-58,118 Brewster Rd Scarsdale NY 10583,41.00831604,-73.7870636
H-59,111 Brewster Rd Scarsdale NY 10583,41.00762177,-73.78781891
H-60,150 Brewster Rd Scarsdale NY 10583,41.01182938,-73.78514099
H-61,136 Brewster Rd Scarsdale NY 10583,41.01042938,-73.78604889
H-62,139 Brewster Rd Scarsdale NY 10583,41.01098251,-73.78639984
H-63,110 Brewster Rd Scarsdale NY 10583,41.00740051,-73.787323
H-64,133 Brewster Rd Scarsdale NY 10583,41.0103035,-73.7869339
H-65,154 Brewster Rd Scarsdale NY 10583,41.01224136,-73.78488922
H-66,163 Brewster Rd Scarsdale NY 10583,41.01335526,-73.7849884
H-67,162 Brewster Rd Scarsdale NY 10583,41.01297379,-73.78440857
H-68,159 Brewster Rd Scarsdale NY 10583,41.01298904,-73.78522491
H-69,180 Brewster Rd Scarsdale NY 10583,41.01483536,-73.78331757
H-70,164 Brewster Rd Scarsdale NY 10583,41.01321411,-73.78424835
H-71,193 Brewster Rd Scarsdale NY 10583,41.01627731,-73.78328705
H-72,190 Brewster Rd Scarsdale NY 10583,41.0156517,-73.7828064
H-73,157 Brewster Rd Scarsdale NY 10583,41.01280594,-73.78534698
H-74,192 Brewster Rd Scarsdale NY 10583,41.0158844,-73.78265381
H-75,161 Brewster Rd Scarsdale NY 10583,41.01317215,-73.78510284
H-76,196 Brewster Rd Scarsdale NY 10583,41.01625443,-73.7824173
